Title,Character,Max Level,SA Level,Rarity,Type,ID,Special Skills,Leader Skill,Super Attack Name,Super Attack Effect,Passive Skill Name,Passive Skill,Categories,HP,Attack,Defense,Transforms Into,EZA Leader Skill,EZA Super Attack Name,EZA Super Attack Effect,EZA Passive Skill,EZA HP,EZA Attack,EZA Defense,Transformation Type,Transformation Condition,EZA Transformation Condition,EZA Ultra Super Attack Name,EZA Ultra Super Attack Effect,Ultra Super Attack Name,Ultra Super Attack Effect,Active Skill Name,Active Skill,Activation Condition,EZA Active Skill Name,EZA Active Skill,EZA Activation Condition,Unit Super Attack Name,Unit Super Attack Effect,EZA Unit Super Attack Name,EZA Unit Super Attack Effect
Hercule City's New Hero,Gohan (Teen),120/140,15-Jan,UR,Super INT,11872,"[""Boost Category"", ""Boost Type"", ""Change Ki Spheres"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Explosive Demon Wave & Kamehameha,Raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Destined Opponent,"ATK & DEF +100%; plus an additional ATK & DEF +100% when there is ""Gohan (disambiguation)"" on the team; plus an additional ATK & DEF +100% and foresees enemy's Super Attack when there is ""Gohan (disambiguation)"" attacking in the same turn; ""Heavenly Events"" Category allies' Ki +3 and ATK & DEF +30%","[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Transformation Boost"", ""Goku's Family"", ""Siblings' Bond"", ""Special Pose"", ""Defenders of Justice""]","[""1784"", ""5890"", ""7090"", ""8890""]","[""2363"", ""7799"", ""8999"", ""10799""]","[""1322"", ""4363"", ""5563"", ""7363""]",,,,,,,,,,,,,,,,,,,,,,,,,
Hercule City's New Hero,Great Saiyaman,120/140,15-Jan,UR,Super INT,41873,"[""Boost Category"", ""Boost Type"", ""Change Ki Spheres"", ""Raise ATK"", ""Raise DEF"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)"", ""Stack Attack"", ""Stack Defense""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Dodon Ray,Raises ATK & DEF for 1 turn[1] and causes supreme damage to enemy,Golden Saiyan,ATK & DEF +5648 per Ki Sphere obtained; plus an additional ATK & DEF +7564 per Ki Sphere obtained with 3 or more Ki Spheres obtained; plus an additional ATK & DEF +10108 when performing a Super Attack,"[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Transformation Boost"", ""Goku's Family"", ""Siblings' Bond"", ""Special Pose"", ""Defenders of Justice""]","[""1784"", ""5890"", ""7090"", ""8890""]","[""2363"", ""7799"", ""8999"", ""10799""]","[""1322"", ""4363"", ""5563"", ""7363""]",,,,,,,,,,,,,,,,,,,,,,,,,
Decisive Kamehameha,Super Saiyan God SS Goku,120,10-Jan,UR,Super PHY,11874,"[""Boost Type"", ""Giant Form (Skill Effect)"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Bond of Master and Disciple"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/>PHY Type Ki +3 and HP, ATK & DEF +90%",Renshinseiryuto,Raises ATK & DEF for 1 turn[1] and causes colossal damage to enemy; high chance[2] of performing a critical hit for 1 turn,Silent Charge,ATK & DEF +5648 per Ki Sphere obtained; plus an additional ATK & DEF +7564 per Ki Sphere obtained with 3 or more Ki Spheres obtained; plus an additional ATK & DEF +10108 when performing a Super Attack; plus an additional ATK & DEF +10108 when performing an Ultra Super Attack; Ki +1 in addition per Ki Sphere obtained,"[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Goku's Family"", ""Kamehameha"", ""Bond of Master and Disciple"", ""Turtle School"", ""Attained Evolution""]","[""3141"", ""10366"", ""12366"", ""15766""]","[""2690"", ""8877"", ""10877"", ""13877""]","[""1395"", ""4606"", ""6606"", ""9206""]",,,,,,,,,,,,,,,,,,,,,,,,,
Definitive Strength,Super Saiyan God SS Vegeta,120,10-Jan,UR,Super TEQ,11879,"[""Giant Form (Skill Effect)""]","""Worthy Rivals"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/>TEQ Type Ki +3 and HP, ATK & DEF +90%",Desperate Covering Fire,Causes supreme damage to enemy and lowers ATK & DEF[1],Precise Charge,"ATK & DEF +60%; plus an additional ATK & DEF +20% at start of each turn (up to 60%); plus an additional ATK & DEF +20% with each attack performed (up to 60%); high chance[2] of randomly changing Ki Spheres of a certain Type to <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Spheres; recovers 6% HP per <a class=""image"" href=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest?cb=20160701152817""><img alt=""Rainbow icon.png"" class=""lazyload"" data-image-key=""Rainbow_icon.png"" data-image-name=""Rainbow icon.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/4/48/Rainbow_icon.png/revision/latest/scale-to-width-down/30?cb=20160701152817"" decoding=""async"" height=""30"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/></a> Ki Sphere obtained; ""Planet Namek Saga"" Category allies' Ki +3 and ATK & DEF +40%","[""Realm of Gods"", ""Pure Saiyans"", ""Movie Heroes"", ""Vegeta's Family"", ""Siblings' Bond"", ""Worthy Rivals"", ""Bond of Master and Disciple"", ""Gifted Warriors"", ""Attained Evolution""]","[""3078"", ""10159"", ""12159"", ""14759""]","[""2514"", ""8298"", ""10298"", ""13698""]","[""1646"", ""5433"", ""7433"", ""10433""]",,,,,,,,,,,,,,,,,,,,,,,,,
Cunning Counterattack,Bergamo (Giant Form),120,10-Jan,UR,Extreme PHY,11880,"[""Boost Type"", ""Damage Reduction"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stun""]","Extreme_Class Ki +3 and HP, ATK & DEF +80%;<br/>maximum number of turning Giant Form +1 for all allies",Crazy Finger Beam,"Raises ATK[1], raises DEF for 1 turn[2] and causes supreme damage to enemy",Wild Charge,"ATK & DEF +70%; plus an additional ATK & DEF +7% with each attack performed (up to 70%); high chance of launching up to 2 additional attacks, each of which has a high chance of becoming a Super Attack[3]; ""Sworn Enemies"" Category allies' Ki +3 and ATK & DEF +40%","[""Universe Survival Saga"", ""Giant Form"", ""Siblings' Bond""]","[""2521"", ""8321"", ""10321"", ""13721""]","[""2615"", ""8631"", ""10631"", ""13631""]","[""1878"", ""6198"", ""8198"", ""10798""]",,,,,,,,,,,,,,,,,,,,,,,,,
Cunning Counterattack,Bergamo (Giant Form),120,10-Jan,UR,Extreme PHY,41880,"[""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","Extreme_Class Ki +3 and HP, ATK & DEF +80%;<br/>maximum number of turning Giant Form +1 for all allies",Savage Skewer,Causes supreme damage to enemy and lowers DEF[1],Fierce Charge,ATK & DEF +100%; guards all attacks as the 1st or 2nd attacker in a turn,"[""Universe Survival Saga"", ""Giant Form"", ""Siblings' Bond""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""35000"", ""40000"", ""42000"", ""45000""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",,,,,,,,,,,,,,,,,,,,,,,,,
Rumored Warrior of Justice,Super Saiyan Gohan (Teen),120,10-Jan,UR,Super STR,11884,"[""Boost Category"", ""Boost Type"", ""Diverse Super Attack"", ""Rage"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery""]","Super_Class Ki +2 and HP, ATK & DEF +60%",Savage Skewer,Causes colossal damage to enemy and lowers DEF[1],Divine Experience,ATK & DEF +120%; guards all attacks as the 1st or 2nd attacker in a turn; plus an additional Ki +2 (up to +6) and ATK & DEF +22% (up to 66%) with each attack performed as the 2nd or 3rd attacker in a turn; high chance[3] of nullifying enemy's Ki Blast Super Attack,"[""Hybrid Saiyans"", ""Majin Buu Saga"", ""Goku's Family"", ""Siblings' Bond"", ""Super Saiyans"", ""Defenders of Justice""]","[""2887"", ""9530"", ""10730"", ""12530""]","[""2351"", ""7759"", ""8959"", ""10999""]","[""1491"", ""4921"", ""6121"", ""7681""]",,,,,,,,,,,,,,,,,,,,,,,,,
End of the Human World,Goku Black (Super Saiyan Rosé),120,10-Jan,UR,Extreme INT,11887,"[""Attack Effective to All"", ""Boost Category"", ""Boost Type"", ""Diverse Super Attack"", ""Rage"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)""]","""Future Saga"" Category Ki +3 and HP, ATK & DEF +100%;<br/>or<br/>Extreme_INT Type Ki +3 and HP, ATK & DEF +90%",Demon Blade Flash,Causes destructive damage to enemy; high chance[1] of performing a critical hit temporarily,Inherited Tactics,Receives an additional Ki +1 per Ki Sphere obtained,"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Kamehameha"", ""Inhuman Deeds"", ""Corroded Body and Mind""]","[""3189"", ""10525"", ""12525"", ""15525""]","[""3005"", ""9918"", ""11918"", ""14918""]","[""1106"", ""3653"", ""5653"", ""8653""]",,,,,,,,,,,,,,,,,,,,,,,,,
Mark of Almighty Power,Goku Black (Super Saiyan Rosé),150,20-Jan,LR,Extreme INT,11888,"[""Boost Category"", ""Disable Guard"", ""Evasion"", ""Premier Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Recovery"", ""Stack Attack"", ""Stack Defense"", ""Stun""]","""Future Saga"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_INT Type Ki +4 and HP, ATK & DEF +100%",Kamehameha,Raises DEF[1] and causes supreme damage to enemy,You Are a Shame to Our Race!,Ki +1 and ATK & DEF +120%; plus an additional ATK +40% and medium chance[2] of launching an additional Super Attack as the 2nd or 3rd attacker in a turn; Ki +1 at start of each turn (up to +2) plus an additional ATK +40% when there is an Extreme Class enemy,"[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Kamehameha"", ""Exploding Rage"", ""Inhuman Deeds"", ""Corroded Body and Mind""]","[""6151"", ""20300"", ""22300"", ""25300""]","[""5040"", ""16635"", ""18635"", ""21635""]","[""2024"", ""6681"", ""8681"", ""11681""]",,,,,,,,,,,,,,,,,,,,,,,,,
Mark of Almighty Power,Goku Black (Super Saiyan Rosé),150,20-Jan,LR,Extreme INT,41889,"[""Additional Attack"", ""Boost Category"", ""Boost Type"", ""Critical Hit"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack""]","""Future Saga"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_INT Type Ki +4 and HP, ATK & DEF +100%",Fierce Hand-to-Hand Battle,Raises DEF[1] and causes mega-colossal damage to enemy,God-on-God Showdown,"Ki +2 and ATK & DEF +159%; launches an additional Super Attack within the same turn after receiving attack; plus an additional ATK +59% and medium chance[3] of launching an additional Super Attack as the 2nd or 3rd attacker in a turn; Ki +1 at start of each turn (up to +3) plus an additional ATK +59% when there is an Extreme Class enemy; performs a critical hit when there is an enemy whose name includes ""Frieza (disambiguation)"" (Frieza Soldier excluded)","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Time Travelers"", ""Kamehameha"", ""Exploding Rage"", ""Inhuman Deeds"", ""Corroded Body and Mind""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]","[""50000"", ""60000"", ""62000"", ""65000""]","[""\u221e"", ""\u221e"", ""\u221e"", ""\u221e""]",,,,,,,,,,,,,,,,,,,,,,,,,
First Friend,Broly (Kid),120/140,15-Jan,UR,Extreme INT,11893,"[""Boost All"", ""Boost Category"", ""Boost Type"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Final Flash,Causes immense damage to enemy and performs a critical hit for 1 turn,Peripheral Awareness,ATK & DEF +150%; plus an additional ATK & DEF +50% when performing a Super Attack; plus an additional ATK & DEF +50% within the same turn after receiving attack; stuns the attacked enemy when performing a Super Attack,"[""Pure Saiyans"", ""Youth"", ""Gifted Warriors""]","[""1781"", ""5878"", ""7478"", ""9878""]","[""2113"", ""6975"", ""8575"", ""10975""]","[""838"", ""2767"", ""4367"", ""6767""]",,,,,,,,,,,,,,,,,,,,,,,,,
Daring Planetary Invasion,Vegeta (Kid) & Raditz (Kid),120/140,15-Jan,UR,Extreme AGL,11895,"[""Boost All"", ""Boost Category"", ""Boost Type"", ""Diverse Super Attack"", ""Evasion"", ""Lower ATK"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Raise Ki (Ki Sphere)"", ""Raise ATK (Ki Sphere)"", ""Raise DEF (Ki Sphere)""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Sonata of Purification,"Causes supreme damage to enemy, lowers ATK[1] and seals Super Attack",Majin on the Warpath,"ATK & DEF +110%; medium chance[2] of evading enemy's attack (including Super Attack); plus an additional ATK & DEF +11% with each attack performed (up to 44%); ""Universe 11"" Category allies' Ki +3 and ATK & DEF +40%; ""Realm of Gods"", ""Siblings' Bond"" and ""Bond of Master and Disciple"" Category allies' ATK & DEF +20%; randomly changes Ki Spheres of a certain Type to Rainbow Ki Ki Spheres when there is another ""Universe 11"" Category ally attacking in the same turn","[""Pure Saiyans"", ""Joined Forces"", ""Youth"", ""Terrifying Conquerors"", ""Space-Traveling Warriors""]","[""1817"", ""5998"", ""7598"", ""9998""]","[""2076"", ""6854"", ""8454"", ""10854""]","[""865"", ""2857"", ""4457"", ""6857""]",,,,,,,,,,,,,,,,,,,,,,,,,
Feelings of Anger,Broly,120,10-Jan,UR,Extreme PHY,11899,"[""Boost All"", ""Boost Category"", ""Boost Type"", ""Category Matchup"", ""Critical Hit"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Movie Bosses"" Category Ki +3 and HP, ATK & DEF +100%;<br/>or<br/>Extreme_PHY Type Ki +3 and HP, ATK & DEF +90%",Galick Gun,Greatly raises ATK for 1 turn[1] and causes supreme damage to enemy,Now You'll See What I Can Really Do,"DEF +80%; plus an additional ATK & DEF +180% when performing a Super Attack; chance of performing a critical hit +18% and reduces damage received by 18% when there is an ""Androids-Cell Saga"" Category enemy; high chance[2] of stunning all enemies when there is an enemy whose name includes ""Android""; ""Androids-Cell Saga"" Category Extreme Class allies' Ki +3 and ATK & DEF +40%","[""Movie Bosses""]","[""3382"", ""11163"", ""13163"", ""16563""]","[""2799"", ""9238"", ""11238"", ""14238""]","[""1267"", ""4184"", ""6184"", ""8784""]",,,,,,,,,,,,,,,,,,,,,,,,,
A New Life on Vampa,Broly & Cheelai & Lemo,150,20-Jan,LR,Extreme PHY,11900,"[""Additional Attack"", ""Boost Category"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Movie Bosses"" Category Ki +4 and HP, ATK & DEF +130%;<br/>or<br/>Extreme_PHY Type Ki +4 and HP, ATK & DEF +100%",Caway's Surprise Attack,"Greatly raises ATK for 1 turn[1], causes supreme damage to enemy and greatly lowers ATK & DEF[2]",Elite Warrior of the Nobility,"Ki +2 and ATK & DEF +140%; plus an additional ATK & DEF +40% when performing a Super Attack; high chance[3] of stunning the attacked enemy; medium chance[4] of an additional Ki +2; medium chance[5] of launching an additional Super Attack; medium chance[6] of evading enemy's attack (including Super Attack); attacks effective against all Types when performing a Super Attack if the target enemy is in ""ATK Down"" status or the target enemy's Super Attack is sealed; performs critical hit on stunned enemies","[""Movie Bosses"", ""Joined Forces""]","[""6537"", ""21575"", ""23575"", ""26975""]","[""4628"", ""15275"", ""17275"", ""20275""]","[""2346"", ""7744"", ""9744"", ""12344""]",,,,,,,,,,,,,,,,,,,,,,,,,
Parents' Guidance,Bardock & Gine,120,10-Jan,UR,Super STR,11904,"[""Additional Attack"", ""Boost Category"", ""Diverse Super Attack"", ""Lower ATK"", ""Lower DEF"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF"", ""Stack Attack"", ""Stack Defense""]","""Movie Heroes"" Category Ki +3 and HP, ATK & DEF +120%;<br/>or<br/>STR Type Ki +3 and HP, ATK & DEF +70%",Fierce Hand-to-Hand Battle,Raises ATK[1] and causes supreme damage to enemy,The Prince Cometh,Ki +1 and ATK & DEF +80%; medium chance[2] of launching an additional Super Attack as the 2nd or 3rd attacker in a turn; plus an additional ATK & DEF +80% for 6 turns from start of turn; ATK +40% starting from the 7th turn; Ki +1 at start of each turn (up to +2) plus an additional ATK +40% when there is a Super Class enemy,"[""Pure Saiyans"", ""Joined Forces"", ""Movie Heroes"", ""Goku's Family""]","[""2466"", ""8141"", ""10141"", ""13141""]","[""2827"", ""9331"", ""11331"", ""14731""]","[""1526"", ""5039"", ""7039"", ""9639""]",,,,,,,,,,,,,,,,,,,,,,,,,
He Who Dreams of a Perfect World,Zamasu,120,10-Jan,UR,Extreme STR,11906,"[""Boost Category"", ""Change Ki Spheres"", ""Evasion"", ""Lower ATK"", ""Lower DEF"", ""Premier Super Attack"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","""Time Travelers"" Category Ki +2 and HP, ATK & DEF +40%",Fierce Hand-to-Hand Battle,Raises ATK[1] and causes mega-colossal damage to enemy,Full of Courage,"Ki +2 and ATK & DEF +100%; launches an additional Super Attack within the same turn after receiving attack; medium chance[3] of launching an additional Super Attack as the 2nd or 3rd attacker in a turn; plus an additional ATK & DEF +100% for 6 turns from start of turn; ATK +50% starting from the 7th turn; Ki +1 at start of each turn (up to +3) plus an additional ATK +50% when there is a Super Class enemy; performs a critical hit when there is an enemy whose name includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded)","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Dragon Ball Seekers"", ""Time Travelers"", ""Inhuman Deeds""]","[""2454"", ""8100"", ""10100"", ""13100""]","[""2693"", ""8890"", ""10890"", ""14290""]","[""1317"", ""4347"", ""6347"", ""8947""]",,,,,,,,,,,,,,,,,,,,,,,,,
Dawn of Darkest Justice,Zamasu (Goku),150,25-Jan,LR,Extreme STR,11907,"[""Boost Category"", ""Boost Type"", ""Diverse Super Attack"", ""Raise Ki"", ""Raise HP"", ""Raise ATK"", ""Raise DEF""]","<img alt=""Leader Skill.png"" class=""lazyload"" data-image-key=""Leader_Skill.png"" data-image-name=""Leader Skill.png"" data-src=""https://static.wikia.nocookie.net/dbz-dokkanbattle/images/2/20/Leader_Skill.png/revision/latest/scale-to-width-down/118?cb=20150826165818"" decoding=""async"" height=""21"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""118""/>",Don't Pick on My Dad!,Causes supreme damage to enemy and lowers ATK[1],Full of Perseverance,"Ki +2 and ATK & DEF +59000 when there is an ally whose name includes ""Goku (disambiguation)"" (Youth, Captain Ginyu, Jr., etc. excluded) on the team; plus an additional ATK & DEF +58000 when performing a Super Attack","[""Realm of Gods"", ""Potara"", ""Future Saga"", ""Dragon Ball Seekers"", ""Time Travelers"", ""Inhuman Deeds"", ""Corroded Body and Mind""]","[""4056"", ""13386"", ""15386"", ""18386""]","[""3959"", ""13066"", ""15066"", ""18466""]","[""2128"", ""7024"", ""9024"", ""11624""]",,,,,,,,,,,,,,,,,,,,,,,,,
